STRUCTURE_NUMBER_008,MIN_VERT_CLR_010,APPR_WIDTH_MT_032,STRUCTURE_FLARED_035,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,HORR_CLR_MT_047,DECK_AREA,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,MIN_NAV_CLR_MT_116,DEGREES_SKEW_034
000000000027471,99.99,17.4,0,0.0,0.0,0.2,0.2,15.8,17.1,99.99,H,5.54,H,1.5,0.0,15.8,1333.8,22.3,78.0,0.0,5
000000000027472,99.99,15.8,0,0.0,0.0,0.2,0.2,15.6,16.9,99.99,H,20.45,H,9.1,0.0,15.6,3116.36,82.3,184.4,0.0,20
000000000027473,99.99,17.1,0,0.0,0.0,0.0,0.0,15.8,17.1,99.99,H,4.62,H,4.1,0.0,15.8,10121.49,57.6,591.9,0.0,15
000000000027475,99.99,17.1,0,0.0,0.0,0.0,0.0,15.8,17.1,99.99,H,4.39,H,4.6,0.0,15.8,10492.56,57.6,613.6,0.0,15
000000000027476,99.99,15.8,0,0.0,0.0,0.2,0.2,15.6,16.8,99.99,H,6.91,H,99.9,0.0,15.6,1617.84,29.9,96.3,0.0,56
000000000027477,99.99,15.8,0,0.0,0.0,0.2,0.2,15.6,16.8,99.99,H,6.83,H,99.9,0.0,15.6,2170.56,44.5,129.2,0.0,40
000000000027479,99.99,15.8,0,0.0,0.0,0.0,0.0,15.8,17.1,99.99,H,4.39,H,4.1,0.0,15.8,709.65,19.8,41.5,0.0,36
000000000027480,99.99,15.8,0,0.0,0.0,0.2,0.2,15.8,17.1,99.99,H,4.44,H,3.3,0.0,15.8,730.17,20.1,42.7,0.0,36
000000000027482,99.99,24.4,0,0.0,0.0,1.5,1.5,24.4,28.2,99.99,H,5.07,H,8.0,8.2,24.4,2244.72,39.0,79.6,0.0,22
000000000027483,99.99,15.8,0,0.0,0.0,0.2,0.2,15.8,17.1,99.99,H,4.51,H,2.3,99.9,15.8,1020.87,33.8,59.7,0.0,39
000000000027484,99.99,19.5,0,0.0,0.0,0.2,0.2,19.5,20.7,99.99,H,4.57,H,1.2,99.9,19.5,1275.12,35.7,61.6,0.0,42
000000000027487,99.99,20.7,1,0.0,0.0,0.2,0.2,20.7,21.5,99.99,H,8.86,H,0.0,99.9,20.7,1008.35,46.0,46.9,0.0,54
000000000027488,99.99,37.5,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,30.1,296.25,7.9,7.9,0.0,46
000000000027489,99.99,17.7,1,0.0,0.0,0.2,0.2,17.7,18.4,99.99,H,7.77,H,0.0,99.9,17.7,1032.24,52.1,56.1,0.0,60
000000000027491,99.99,52.1,0,0.0,0.0,0.2,0.2,53.9,127.7,99.99,R,6.93,R,0.0,0.0,30.4,3384.05,25.9,26.5,0.0,99
000000000027497,99.99,12.8,0,0.0,0.0,0.2,0.2,12.8,13.6,99.99,H,5.21,N,0.0,0.0,12.8,186.32,13.1,13.7,0.0,9
000000000027500,99.99,18.3,0,0.0,0.0,1.5,1.5,18.3,21.9,99.99,N,0.0,N,0.0,0.0,18.3,313.17,13.4,14.3,0.0,15
000000000027501,99.99,16.2,0,0.0,0.0,1.7,2.1,17.1,20.7,99.99,R,5.41,R,0.0,0.0,17.1,726.57,16.8,35.1,0.0,45
000000000027503,99.99,15.2,0,0.0,0.0,1.4,1.4,15.2,18.9,99.99,N,0.0,N,0.0,0.0,15.2,126.63,6.4,6.7,0.0,0
000000000027505,99.99,21.3,0,0.0,0.0,1.1,0.7,17.7,21.0,99.99,N,0.0,N,0.0,0.0,10.4,191.1,8.8,9.1,0.0,0
000000000027506,99.99,23.8,0,0.0,0.0,0.5,0.5,20.7,22.3,99.99,H,4.57,H,1.0,0.3,20.7,278.75,11.9,12.5,0.0,0
000000000027507,99.99,18.6,0,0.0,0.0,1.3,1.3,21.9,25.1,99.99,N,0.0,N,0.0,0.0,21.9,245.98,9.4,9.8,0.0,22
000000000027508,99.99,13.7,0,0.0,0.0,1.5,1.5,13.7,17.7,99.99,N,0.0,N,0.0,0.0,13.7,830.13,23.2,46.9,0.0,0
000000000027509,99.99,11.3,0,0.0,0.0,0.0,0.0,11.0,11.7,99.99,N,0.0,N,0.0,0.0,11.0,184.86,15.2,15.8,0.0,0
000000000027510,99.99,8.5,0,0.0,0.0,0.2,0.2,10.4,11.4,99.99,N,0.0,N,0.0,0.0,10.4,149.34,12.8,13.1,0.0,0
000000000027514,99.99,7.9,0,0.0,0.0,0.0,0.0,8.5,9.1,99.99,N,0.0,N,0.0,0.0,7.9,524.16,12.8,57.6,0.0,0
